,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,predict
403,NFLX,2018-08-22 00:00:00+00:00,344.44,346.21,337.406,338.49,8930669.0,344.44,346.21,337.406,338.49,8930669.0,0.0,1.0,344.44
404,NFLX,2018-08-23 00:00:00+00:00,339.17,350.08,337.65,348.11,11336425.0,339.17,350.08,337.65,348.11,11336425.0,0.0,1.0,339.17
405,NFLX,2018-08-24 00:00:00+00:00,358.82,359.15,344.541,346.0,14729137.0,358.82,359.15,344.541,346.0,14729137.0,0.0,1.0,358.82
406,NFLX,2018-08-27 00:00:00+00:00,364.58,374.49,360.0,367.1453,17427304.0,364.58,374.49,360.0,367.1453,17427304.0,0.0,1.0,364.58
407,NFLX,2018-08-28 00:00:00+00:00,368.49,369.99,360.38,367.23,9222617.0,368.49,369.99,360.38,367.23,9222617.0,0.0,1.0,368.49000000000007
408,NFLX,2018-08-29 00:00:00+00:00,368.04,369.86,362.91,367.2,8118734.0,368.04,369.86,362.91,367.2,8118734.0,0.0,1.0,368.04
409,NFLX,2018-08-30 00:00:00+00:00,370.98,376.8085,363.54,365.0,10981013.0,370.98,376.8085,363.54,365.0,10981013.0,0.0,1.0,370.98
410,NFLX,2018-08-31 00:00:00+00:00,367.68,376.0,367.0766,370.66,7943443.0,367.68,376.0,367.0766,370.66,7943443.0,0.0,1.0,367.68
411,NFLX,2018-09-04 00:00:00+00:00,363.6,368.88,361.26,366.47,7605161.0,363.6,368.88,361.26,366.47,7605161.0,0.0,1.0,363.6
412,NFLX,2018-09-05 00:00:00+00:00,341.18,363.39,335.83,360.0,13092847.0,341.18,363.39,335.83,360.0,13092847.0,0.0,1.0,341.17999999999995
413,NFLX,2018-09-06 00:00:00+00:00,346.46,356.0,341.99,347.44,13050156.0,346.46,356.0,341.99,347.44,13050156.0,0.0,1.0,346.46
414,NFLX,2018-09-07 00:00:00+00:00,348.68,355.75,341.25,342.2,9105817.0,348.68,355.75,341.25,342.2,9105817.0,0.0,1.0,348.68
415,NFLX,2018-09-10 00:00:00+00:00,348.41,352.5,343.08,352.27,5752184.0,348.41,352.5,343.08,352.27,5752184.0,0.0,1.0,348.40999999999997
416,NFLX,2018-09-11 00:00:00+00:00,355.93,356.15,343.9001,344.67,6198063.0,355.93,356.15,343.9001,344.67,6198063.0,0.0,1.0,355.93
417,NFLX,2018-09-12 00:00:00+00:00,369.95,370.43,356.24,359.08,10480769.0,369.95,370.43,356.24,359.08,10480769.0,0.0,1.0,369.95000000000005
418,NFLX,2018-09-13 00:00:00+00:00,368.15,374.09,366.84,371.91,8366122.0,368.15,374.09,366.84,371.91,8366122.0,0.0,1.0,368.15
419,NFLX,2018-09-14 00:00:00+00:00,364.56,371.09,363.46,368.55,4756426.0,364.56,371.09,363.46,368.55,4756426.0,0.0,1.0,364.56
420,NFLX,2018-09-17 00:00:00+00:00,350.35,367.33,349.57,364.22,7071945.0,350.35,367.33,349.57,364.22,7071945.0,0.0,1.0,350.35
421,NFLX,2018-09-18 00:00:00+00:00,367.65,368.15,351.56,353.67,10413981.0,367.65,368.15,351.56,353.67,10413981.0,0.0,1.0,367.65
422,NFLX,2018-09-19 00:00:00+00:00,366.96,377.61,359.17,373.95,11876841.0,366.96,377.61,359.17,373.95,11876841.0,0.0,1.0,366.96
423,NFLX,2018-09-20 00:00:00+00:00,365.36,370.26,363.17,370.26,6768086.0,365.36,370.26,363.17,370.26,6768086.0,0.0,1.0,365.36
424,NFLX,2018-09-21 00:00:00+00:00,361.19,372.22,360.74,366.59,11930568.0,361.19,372.22,360.74,366.59,11930568.0,0.0,1.0,361.19
425,NFLX,2018-09-24 00:00:00+00:00,369.61,373.64,354.33,359.0,9322522.0,369.61,373.64,354.33,359.0,9322522.0,0.0,1.0,369.61
426,NFLX,2018-09-25 00:00:00+00:00,369.43,371.34,364.492,370.23,6799816.0,369.43,371.34,364.492,370.23,6799816.0,0.0,1.0,369.42999999999995
427,NFLX,2018-09-26 00:00:00+00:00,377.88,382.0,370.88,373.59,13799728.0,377.88,382.0,370.88,373.59,13799728.0,0.0,1.0,377.88
428,NFLX,2018-09-27 00:00:00+00:00,380.71,383.2,376.0,379.87,7326246.0,380.71,383.2,376.0,379.87,7326246.0,0.0,1.0,380.71
429,NFLX,2018-09-28 00:00:00+00:00,374.13,380.8,373.73,379.24,7114878.0,374.13,380.8,373.73,379.24,7114878.0,0.0,1.0,374.13
430,NFLX,2018-10-01 00:00:00+00:00,381.43,386.11,375.59,375.85,8376560.0,381.43,386.11,375.59,375.85,8376560.0,0.0,1.0,381.43
431,NFLX,2018-10-02 00:00:00+00:00,377.14,386.7999,373.83,384.38,8638717.0,377.14,386.7999,373.83,384.38,8638717.0,0.0,1.0,377.14
432,NFLX,2018-10-03 00:00:00+00:00,377.05,380.93,374.881,378.53,5798605.0,377.05,380.93,374.881,378.53,5798605.0,0.0,1.0,377.05
433,NFLX,2018-10-04 00:00:00+00:00,363.65,375.92,360.4,375.88,9074350.0,363.65,375.92,360.4,375.88,9074350.0,0.0,1.0,363.65
434,NFLX,2018-10-05 00:00:00+00:00,351.35,363.5,343.0,359.77,13522957.0,351.35,363.5,343.0,359.77,13522957.0,0.0,1.0,351.35
